Date,Open,High,Low,Close,Adj Close,Volume
2016-05-17,209.050003,209.820007,204.020004,204.660004,204.660004,2843600
2016-05-18,209.149994,215.309998,207.750000,211.169998,211.169998,5617500
2016-05-19,213.619995,216.789993,207.300003,215.210007,215.210007,6866300
2016-05-20,216.990005,220.550003,216.350006,220.279999,220.279999,9007100
2016-05-23,219.869995,222.600006,215.860001,216.220001,216.220001,5102500
2016-05-24,216.600006,218.740005,215.179993,217.910004,217.910004,3013800
2016-05-25,217.910004,221.360001,216.509995,219.580002,219.580002,3126800
2016-05-26,220.500000,225.259995,219.050003,225.119995,225.119995,4072400
2016-05-27,224.990005,225.929993,220.750000,223.039993,223.039993,3642700
2016-05-31,223.039993,224.750000,221.500000,223.229996,223.229996,2789000
2016-06-01,221.479996,222.399994,216.889999,219.559998,219.559998,2982700
2016-06-02,219.589996,219.910004,217.110001,218.960007,218.960007,2032800
2016-06-03,220.000000,221.940002,218.009995,218.990005,218.990005,2229000
2016-06-06,218.000000,220.899994,215.449997,220.679993,220.679993,2249500
2016-06-07,222.240005,234.440002,221.520004,232.339996,232.339996,6213600
2016-06-08,233.800003,240.850006,232.610001,235.520004,235.520004,5972000
2016-06-09,234.979996,235.330002,227.059998,229.360001,229.360001,4492100
2016-06-10,227.389999,227.970001,218.419998,218.789993,218.789993,6026600
2016-06-13,219.500000,225.770004,217.660004,217.869995,217.869995,4193000
2016-06-14,218.880005,222.199997,212.529999,214.960007,214.960007,3580200
2016-06-15,216.949997,221.899994,215.130005,217.699997,217.699997,2908500
2016-06-16,217.419998,218.039993,213.500000,217.929993,217.929993,2440300
2016-06-17,217.809998,219.990005,214.500000,215.470001,215.470001,3112600
2016-06-20,219.500000,223.750000,218.229996,219.699997,219.699997,3555500
2016-06-21,220.679993,222.570007,218.809998,219.610001,219.610001,4529000
2016-06-22,199.470001,205.949997,195.750000,196.660004,196.660004,23742400
2016-06-23,195.690002,197.550003,192.130005,196.399994,196.399994,10130700
